sr,taluka,site,lat,lon,aquifer,ph,ec,tds,th,ca,mg,na,k,hco3,cl,so4,no3,f,sar,rsc,page,is10500_exceedances,n_params_tested,irrigation_class_e,source_agency,sample_period
42,Nagpur (R),BAHADURA,21.0861,79.1675,deep,8.16,2353.0,1530.0,676.0,,,,,,254.0,75.0,102.0,0.66,0.0,0.0,261.0,nitrate|hardness,6,fail,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
43,Katol,Ladgaon Ow-I,21.2269,78.5644,deep,7.8,885.0,575.0,410.0,86.0,47.0,41.0,3.3,244.0,89.0,104.0,51.0,0.24,0.88,-4.17,261.0,nitrate,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
44,Katol,Maragsur- EW,21.2073,78.7071,deep,7.9,772.0,502.0,220.0,38.0,30.0,63.0,47.5,79.0,121.0,173.0,48.0,0.2,1.85,-3.07,261.0,nitrate,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
45,Katol,Ladgaon Ew- I,21.2269,78.5644,deep,7.5,621.0,404.0,90.0,26.0,6.0,109.0,1.7,207.0,71.0,62.0,33.0,1.87,5.0,1.6,261.0,fluoride,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
46,Katol,Khangaon Z- I Ow,21.2942,78.5467,deep,7.6,523.0,340.0,220.0,62.0,16.0,44.0,8.4,275.0,43.0,45.0,24.0,0.66,1.29,0.09,261.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
47,Katol,Metpanjra- EW,21.2583,78.7,deep,7.9,979.0,636.0,100.0,34.0,4.0,188.0,0.9,43.0,216.0,203.0,16.0,0.39,8.11,-1.32,261.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
48,Katol,Narkhed PZ,21.3381,78.5381,deep,7.8,697.0,439.1,255.0,32.064,42.5,7.6,0.4,158.6,46.1,78.0,12.0,1.04,0.21,-2.5,261.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
49,Katol,Khangaon Ew,21.2942,78.5467,deep,7.1,1183.0,769.0,235.0,86.0,5.0,192.0,5.5,165.0,163.0,323.0,11.0,0.94,5.44,-2.01,261.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
50,Katol,Dorli-OW,21.2667,78.7833,deep,8.3,1160.0,725.0,70.0,26.0,1.2,235.0,2.0,128.0,170.0,225.0,1.4,,12.22,0.7,261.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
51,Narkhed,Lohari Sawanga- PYT,21.26,78.4044,deep,8.1,700.0,,60.0,12.0,7.3,,,213.5,99.3,,,1.0,0.0,2.3,261.0,,4,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
52,Narkhed,Sawargaon Ew,21.4008,78.6342,deep,7.5,829.0,539.0,335.0,96.0,23.0,71.0,2.2,207.0,89.0,192.0,51.0,0.17,1.69,-3.3,261.0,nitrate,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
53,Narkhed,Koni Ew,21.4394,78.5822,deep,7.9,772.0,502.0,220.0,38.0,30.0,63.0,47.5,79.0,121.0,173.0,48.0,0.2,1.85,-3.07,261.0,nitrate,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
54,Narkhed,Manikwada Z-III Ew,21.4969,78.4997,deep,8.0,450.0,293.0,155.0,48.0,9.0,46.0,2.1,183.0,32.0,51.0,48.0,0.2,1.6,-0.14,262.0,nitrate,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
55,Narkhed,Manikwada Z-II Ew,21.4969,78.4997,deep,7.8,400.0,260.0,150.0,52.0,5.0,37.0,1.2,153.0,32.0,43.0,47.0,0.17,1.31,-0.5,262.0,nitrate,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
56,Narkhed,Jamgaon Kh.-EW,21.3381,78.4367,deep,7.3,980.0,,365.0,68.0,47.4,,,274.5,67.4,,46.32,0.55,0.0,-2.8,262.0,nitrate,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
57,Narkhed,Manikwada Ew PYT,21.4969,78.4997,deep,8.0,402.0,261.0,180.0,40.0,19.0,25.0,1.0,201.0,25.0,24.0,45.0,0.24,0.81,-0.27,262.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
58,Narkhed,Narkhed- OW,21.4722,78.5292,deep,7.9,1426.0,898.4,470.0,64.128,75.3,17.1,0.1,225.7,212.7,42.0,44.0,0.33,0.34,-5.71,262.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
59,Narkhed,Manikwada Z-I Ew,21.4969,78.4997,deep,8.0,350.0,228.0,130.0,32.0,12.0,36.0,1.7,92.0,32.0,42.0,38.0,0.21,1.38,-1.08,262.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
60,Narkhed,Arambhi-EW,21.2694,78.3486,deep,7.5,700.0,,75.0,20.0,6.1,110.0,25.0,103.7,127.7,55.0,32.0,0.45,5.52,0.2,262.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
61,Narkhed,Arambhi,21.2694,78.3486,deep,8.1,670.0,,90.0,14.0,13.4,,,244.0,81.5,,24.3,1.0,0.0,2.2,262.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
62,Narkhed,Jamgaon Kh.-EW PYT,21.3381,78.4367,deep,8.7,1160.0,,160.0,38.0,15.8,,,170.8,109.9,,20.6,0.55,0.0,0.8,262.0,,5,fail,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
63,Narkhed,Arambhi,21.2694,78.3486,deep,7.8,640.0,,75.0,10.0,12.2,,,237.9,81.5,,20.0,0.99,0.0,2.4,262.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
64,Narkhed,Khedi Ew,21.4589,78.6444,deep,7.9,979.0,636.0,100.0,34.0,4.0,188.0,0.9,43.0,216.0,203.0,16.0,0.39,8.11,-1.32,262.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
65,Narkhed,Arambhi-EW,21.2694,78.3486,deep,6.85,1830.0,,545.0,106.212,68.1,150.2,32.0,274.5,205.6,374.4,7.8,0.13,2.8,-6.41,262.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
66,Narkhed,Tinkheda- EW PYT,21.4033,78.4903,deep,7.24,961.0,,215.0,46.092,24.3,116.7,2.4,201.3,124.1,122.4,2.55,0.3,3.46,-1.0,262.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
67,Narkhed,Belona-EW PYT,21.4833,78.4864,deep,7.32,630.0,,140.0,38.076,10.9,88.9,0.7,286.7,42.5,36.0,0.75,0.93,3.26,1.9,262.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
68,Narkhed,Wadvihra- EW,21.3472,78.3986,deep,7.5,750.0,0.0,135.0,24.0,9.0,0.0,0.0,140.0,136.0,0.0,0.0,,0.0,0.35,262.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
69,Katol,Sonkhamb,21.2723,78.7225,deep,8.3,857.0,105.0,400.0,26.0,81.0,16.0,0.2,128.0,160.0,147.0,11.0,1.4,0.35,-5.77,262.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
70,Katol,Ramgiri,21.3001,78.7575,deep,8.2,798.0,105.0,325.0,48.0,50.0,6.0,0.2,128.0,89.0,95.0,65.0,0.5,0.14,-4.42,262.0,nitrate,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
71,Katol,Malegaon,21.3078,78.7183,deep,8.0,519.0,140.0,235.0,42.0,32.0,5.0,0.3,171.0,46.0,21.0,42.0,0.46,0.14,-1.93,262.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
72,Kalmeshwar,Kohli,21.2653,78.8094,deep,8.1,852.0,55.0,375.0,16.0,81.0,16.0,0.2,67.0,106.0,189.0,44.0,1.4,0.36,-6.37,262.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
73,Kalmeshwar,Dahegaon,21.2163,78.9456,deep,8.3,540.0,110.0,235.0,30.0,39.0,8.0,0.4,134.0,67.0,33.0,28.0,0.68,0.23,-2.21,262.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
74,Kalmeshwar,Khapri,21.2397,78.8408,deep,8.5,492.0,185.0,225.0,12.0,47.0,9.0,0.3,226.0,25.0,7.0,21.0,1.31,0.26,-0.36,263.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
75,Kalmeshwar,Mohgaon,21.2965,78.8475,deep,8.4,563.0,170.0,275.0,50.0,36.0,3.0,0.3,207.0,57.0,26.0,21.0,0.36,0.08,-1.77,263.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
76,Saoner,Dhapewada,21.3033,78.905,deep,8.1,747.0,205.0,330.0,58.0,45.0,6.0,0.3,250.0,78.0,41.0,32.0,0.53,0.14,-2.5,263.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
77,Mauda,Gowri,21.2686,78.9497,deep,8.3,470.0,95.0,210.0,26.0,35.0,5.0,0.7,116.0,85.0,13.0,1.0,0.36,0.15,-1.98,263.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
78,Kalmeshwar,Khairi lakhmaji,21.2528,78.9517,deep,7.2,2211.0,110.0,960.0,246.0,84.0,10.0,17.9,134.0,557.0,187.0,31.0,0.9,0.14,-17.02,263.0,hardness,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
79,Katol,Raulgaon,21.2376,78.7831,deep,8.2,904.0,120.0,395.0,22.0,83.0,17.0,0.2,146.0,110.0,139.0,46.0,1.23,0.37,-5.54,263.0,nitrate,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
80,Kalmeshwar,Waroda,21.2636,78.9047,deep,8.0,1421.0,250.0,250.0,60.0,120.3,9.8,0.2,305.0,202.0,100.2,39.1,0.41,0.17,-7.9,263.0,,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
81,Nagpur (R),Salai Godhani,21.0093,79.1203,deep,7.56,564.0,,155.0,52.0,6.1,57.5,2.0,213.6,24.8,48.0,25.42,0.67,2.01,0.4,263.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
82,Kuhi,Dhanoli,21.0418,79.2645,deep,7.8,2512.0,,585.0,24.0,127.6,338.1,15.6,61.0,694.8,288.0,14.26,2.2,6.08,-10.7,263.0,fluoride,5,fail,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
83,Hingna,Sukali Gharapure,20.9829,78.9473,deep,8.2,1698.0,,335.0,46.0,53.5,236.9,3.9,140.3,322.6,259.2,19.84,4.4,5.63,-4.4,263.0,fluoride,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
84,Bhiwapur,Mandwa,20.7515,79.2587,deep,7.47,392.0,,145.0,26.0,19.4,23.0,2.0,73.2,70.9,28.8,3.1,0.43,0.83,-1.7,263.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
